what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1359276187952
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1359276187952
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1359276188002
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1359276188012
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1359276188062
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1359276188092
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1359276188282
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1359276188292
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1359276188332
started,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1359276188342
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1359276188532
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276221960
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276222650
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1359276225170
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276226250
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276395699
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276413812
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276430004
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276483871
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276484572
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276484952
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276558039
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276581704
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276751679
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359276765582
