what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1359858810142
closed,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359858810146
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359858812746
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858813695
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858828754
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858829167
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858833254
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858868759
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858874882
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858957302
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858972586
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359859029144
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359859044998
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359859085542
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359859125871
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359859158639
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359859175030
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359859807453
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359859817632
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359859900204
started,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1359859908231
started,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1359859908286
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1359859908524
started,bundle,org.eclipse.jst.server.ui,1.0.303.v200805140145,org.eclipse.jst.server.ui,1359859908549
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359859913019
