what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1359858680966
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1359858681497
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359858682408
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1359858685249
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1359858685441
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1359858685451
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1359858685768
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1359858685898
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858686004
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858687350
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858688538
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858691299
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359858695035
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359858695070
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1359858695073
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858697773
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858701237
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1359858702015
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858703961
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858708819
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858711096
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858714591
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858718056
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359858721635
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1359858727566
