what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359902600
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1351359904330
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351359904515
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351359904570
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1351359913964
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351359914359
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359921655
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360004001
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360004986
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360005756
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360005956
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360006101
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360006516
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360009026
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351360020920
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351360026798
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351360029811
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360035986
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351360052327
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351360060798
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351360074139
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351360080830
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1351360083275
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1351360084838
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351360086370
