what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361125458
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361178952
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361183355
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361280827
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1351361285557
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361294851
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361294929
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361308531
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361308604
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361314842
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361314941
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351361329480
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351361335799
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351361347185
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351361349706
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351361359378
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351361365089
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351361368266
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361369594
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361404901
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361407784
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361436012
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361469034
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351361474652
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351361478087
