what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359863597664
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359863600228
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359863602166
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359863606210
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359863606236
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1359863606236
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1359863607658
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1359863610242
closed,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359863610248
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359863612928
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359863619384
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359863642281
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359863652256
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359863708778
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879072858
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879135925
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879141759
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879145606
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879249936
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879250795
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879252150
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879287571
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359879414721
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1359879761788
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359879768840
