what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1351343899210
started,bundle,org.eclipse.pde.ui,3.4.0.v20090202,org.eclipse.pde.ui,1351343899225
started,bundle,org.eclipse.ui.views.log,1.0.0.v20080803-1700,org.eclipse.ui.views.log,1351343899230
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1351343899243
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1351343899250
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1351343899258
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1351343899270
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1351343899629
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1351343899876
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1351343899881
started,bundle,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console,1351343899938
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1351343900138
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1351343900311
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351343900946
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351343902439
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351343903286
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351343954760
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1351343956605
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1351343958523
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351343961122
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351343973468
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351343973693
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1351343973881
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351343973974
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351343976470
