what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1350141551645
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350141557128
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350141560623
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1350141562751
started,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1350141562791
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1350141590154
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1350141592817
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1350141593934
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1350141599524
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1350141613009
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1350141614205
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1350141614210
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350141614330
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350141615865
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1350141628492
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1350141628517
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1350141628522
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1350141629642
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1350141630920
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1350141632061
closed,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1350141632068
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350141633563
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350141808865
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350141813146
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1350141908981
