what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351419478412
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351419503686
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1351419503686
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351419511926
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419532763
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419534451
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419534914
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419576191
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419584808
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419585775
started,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1351419585880
started,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1351419586010
started,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1351419586020
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419586128
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1351419586433
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1351419586443
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1351419586505
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1351419586533
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1351419586555
