what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351358940079
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351358943189
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351358962684
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351358968859
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1351358970084
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351358987956
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351358996608
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351359020022
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359050211
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359050278
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351359054863
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351359057373
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351359060531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359076107
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359378063
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351359380847
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359396352
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359405298
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351359525313
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351359539167
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359541798
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351359643719
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1351359649243
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1351359660847
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1351359662451
