what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363493276
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363503301
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363513152
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363517542
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351363524014
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363526291
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363540200
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363553586
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363564900
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351363569679
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1351363569681
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1351363570599
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351363574776
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351363579448
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1351363579451
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351363580733
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363597464
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363599226
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351363611318
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363611771
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363618063
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363630503
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363632076
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351363635943
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363636785
