what,kind,bundleId,bundleVersion,description,time
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351419167050
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351419167075
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1351419167077
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351419168687
closed,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351419168750
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419170253
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419240121
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351419244106
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351419244131
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1351419244131
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419248142
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419252927
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351419257267
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419261180
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419262256
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351419265806
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1351419265806
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1351419271742
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419283686
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419284488
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419284656
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1351419297518
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1351419297518
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1351419309317
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351419310007
