what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359861067214
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1359861087379
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1359861093330
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1359861094559
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1359861096327
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359861098411
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359861111156
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1359861124277
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359861134551
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359861134579
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1359861134579
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359861135831
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359861140667
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1359861144877
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1359861148990
closed,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359861148996
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359861153940
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359861153967
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.views.showView,1359861153968
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1359861166823
closed,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1359861166830
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359861176523
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359861298759
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359861451769
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1359861454600
