what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363642884
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363662621
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363665253
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351363669279
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363671248
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363685053
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351363690321
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363691905
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363707295
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363719151
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363748003
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363768111
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363786394
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363787620
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363792480
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363796871
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351363807421
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363821439
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1351363828435
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363829472
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363836832
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363850560
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1351363853618
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363866769
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1351363873243
